ID,Text,Sub-task A,Sub-task B,Label
C4.1811,Bhai teri abaj sunkk sona habit hogai h,NAG,NGEN,0
C36.1053,"Jai bhim sir  
Sir Delly prilims booster ka video banaye kariye please...",NAG,NGEN,0
C21.77,"💝Review of Film Section 375 & इंद्रप्रस्थ का अंधा क़ानून💝  
  
💝Section 375 औऱ चन्द्रवंशियों की सुलगती चिताएं!💝  
सर्काइले खटिया जाड़ा लगे, दिन में भैया, रात में ख़सम, वृंदावन की गोपियों को,वही
प्यारा लगे!अभि-मन्यु-नंदन-शेख़-कपूर सबसे न्यारा लगे!😊👍👌  
द्रोण के चक्रव्यूह में उत्तरा का ख़सम, अर्जुन कृष्ण की जगह मारा लगे!😊  
सर्काइले खटिया,आवारा श्री 420 छलिया कन्हैया कपूर की करिश्मा कृष्णा कपूर
को,अपना भैया अरुण गोविंदा-गोविल आहूजा रात को ख़सम के रूप में प्यारा लगे!  
  
बोलो राधे कृष्णा, राधे राम, अरुण गोविल -गोविंद की राम नाम सत!कृष्ण कन्हैया
कुमार गोपियों संग मस्त!😊  
  
  
महादेव जी के देववर्त!  
  
💝आदि-अनादि (सनातन ) सर्वेश्वर शिव व उनसे जुड़े हुए कुछ रहस्य💝  
  
💝Ancient Aliens ऊर्फ़ सनातन सूर्यवंशी आर्य ऊर्फ़ महादिव्यमात्मा आदरणीय श्री
मनुमहाराज (कार्तिके,नूह, Noah, नील, कबीर, कर्ण जी के वंशज)💝  
  
💝आर्यवर्त के सनातन सूर्यवंशियों की लुप्त हुई विज्ञान!💝  
  
  
💝क्या पवन-पांडु-पुत्र भीम राम राव ने क़भी सुतसूर्यपुत्र कर्ण को पराजित किया
था!?💝  
  
ये है आपके चन्द्रवंशियों,पवनपुत्र पांडव भीम राम राव भीमदेव -फुदकू-Trump
Card),क्या ये महामूर्खों के महामूर्ख हराएंगे आदरणीय सुतसूर्यपुत्र श्री
राधेय-कर्ण जी को!?😊  
चलो ये बताओ,ये पवन शब्द स्त्रीलिंग हैं या पुंलिङ्ग!?😊  
ये वेद पुराणों की भाषा है,किसी देवकीनंदन खत्री की ""चंद्रकान्ता"" के ""Pulp
Fiction"" की व्याकरण नहीं!😊  
यहां हर अक्षर का बहुत गहरा मतलब हैं, कोई नारायण झाऊँ का अक्षरधाम मंदिर नहीं जो
यमुना के पुस्ते पर Discounted रेतीली ज़मीन पर बना है!😊👍  
समझें Darwin के फुदकू वंशजों!😊👍👌  
  
इसलिए सूर्यवंशियों का आदर करना सीखो, नहीं सीखते तो भी उनपर कोई फ़र्क नहीं पड़ता
है, तुम्हारे अपने ही कर्म ख़राब होते हैं जैसे इस भीमटे भीम राम राव मुच्छमुंडे
के कर्म बिगड़ते है""  
  
क्योंकि चन्द्रवंशी अपने Mom Dead (चंद्रलोक ऊर्फ़ जन्नत ऊर्फ़ स्वर्गलोक) के धाम
जाना नहीं चाहते हैं हमेशा हमेशा के लिए!इसलिए चन्द्रयान की असफलता चाहते हैं!  
  
हरयाणवी रागनी सुतसूर्यपुत्र श्री कर्ण V/s स्वर्गवासी इंद्रपुत्र नर-इन्द्र
अर्जुन कपूर खान शाह पठान अमित पटौदी के महायुद्ध की कथा!  
  
ये सभी मायावी घटोत्कच तो अपने मायालोक को प्रस्थान करेंगे ही करेंगे!😊  
चन्द्रवंशी नर-नारायण झाऊँ तो हमेशा से ही ऐय्याश रहे हैं!  
सबसे बड़ा इंद्र का ऐय्याशी का अड्डा कहाँ हैं!?  
इंद्रलोक ऊर्फ़ चन्द्रलोक (सपनलोक) ,सभी Dream Girls इंद्राणी,मेनका,रंभा, ऊर्वशी,
हेमा इत्यादि तो वहीं रहती है ना!  
या फ़िर द्वारिका, वृंदावन मथुरा, जहां सबसे ज्यादा गोपियाँ द्रौपदियाँ पाई जाती
है रासलीला खेलने के लिए!जहां कन्हैया जी व नर-इंद्र जी होंगे, वहीं तो
इंद्रप्रस्थ होगा जी!😊वहीं जन्नत की हुरें होंगी!औऱ पृथ्वी पर जन्नत कहाँ हैं!?  
  
इंद्रप्रस्थ की इस आर्थिक मंदी के लिए, इतनी गोपियां द्रौपदियों के होने के
बाबजूद भी,कौन कौन से गोपियों द्रौपदियों के बच्चे जिम्मेदार!😊👍👌  
  
ज़रा अब जैविक हत्यारों (हथियारों) से भी सावधान हो जाइए जी!😊  
चलते फिरते शिवहत्यारे तो घूम रहे ही है, जैविक हत्यारे भी महाभारत के महारण में
आ चुके हैं!  
  
Loose Talk (L-T) with Abram Imran नारायण खान!  
चाए (T) अबराम नारायण से डरो ना डरो पर ज़रा नारायणी सेना से जरूर डर कर रहना,वो
चन्द्रवंशी अब-राम नारायण कृष्ण कन्हैया की नहीं,सूर्यवंशी कौरवों की तरफ़ से लड़
रही हैं!😊👍👌",NAG,NGEN,0
C7.1939,Movie kaisi hai ye bata do bhai,NAG,NGEN,0
C4.1224.1,Tera baap usse se bada,NAG,NGEN,0
C23.52,"ek request ... entertainment audience mein entertainment ki spelling galat hai
video ke end mein!! btw good review !!",NAG,NGEN,0
C7.1622,"Pratik Bhai mje galat dikh Raha he ya fir apki ek cheek ki shave thodi zyada
light he🤔",NAG,NGEN,0
C4.1384,"Kuch mila ke mujhe movie km chutiyapa jyada laga tha... Aur kuch chutiye 2 2
baar dekkh ke aaye 😂😂",NAG,NGEN,0
C66.16,"Bhai no problem Aisa Mithila bahut milta hai aap log tension nahin karna lekin
Mithila faltu public Mithila one time Mithila one time use Mithila",NAG,NGEN,0
C4.458,"Bhai ladki to doctor bani...kya yaar movie thik se dekh lijiye plz...aur movie
me prb s hai...bt utna nhi...mtlb mai 100% apse sahemat nhi hu...bt nice video",NAG,NGEN,0
C25.501,"mere wifi muze bena kise wajese muze chhood ke chali gaye aur bolti subko
fasadungi hum bohot dukhi hai kuch huwa nahi 11 month huye hai hamari shadi ko
ab hum kya kare kuch samaz nahi araha hai",NAG,NGEN,0
