,Text,Abuse,Label
468,"बीजेपी का ये कार्यकर्ता क़ुबूल करेगा इस्लाम धर्म, बोला अब अल्लाह मेरे साथ है",benign,0
469,मोदी जी तो सत्ता के नशे में चूर हैं। बीजेपी के कुछ नेता बिना सोचे समझे कुछ भी बकवास करने लगते हैं। बीजेपी का राजनीति करने का तरीका सबसे घटिया है।,benign,0
470,घनचक्कर मिश्रा बीजेपी   शाशित   के बारे भी कुछ बक दिया कर मन्दबुद्धि        अमित शाह का पिछे वाला डंडा काम कर रहा है,benign,0
471,अब अगर बीजेपी ने कोई भी बहाना किया तो सौगंध राम की कांग्रेस की तरह ही नहीं जनता दल की तरह बीजेपी को समूल नष्ट करके ही छोडेंगे । अगर भारत देश में राम का सम्मान नहीं । तो राम नाम पर खाने वालों का भी काम नहीं ।।,benign,0
472,आप बीजेपी के चाटुकार है। कृपा करके उनकी गा चाटे,benign,0
473,इतने सालों से भारत में हिन्दू महफूज़ था और बीजेपी के आने से हिन्दू ख़तरे में आ गये,benign,0
474,देश की जनता ने आपको प्रधानमंत्री बनाया देश को संभालने के लिए लेकिन आप बीजेपी पार्टी संभालने लगे। जब चुनाव आता है तब आपको गरीबी और बेरोजगारी याद आती है। आपको पांच साल बीत गया लेकिन आज भी आप कांग्रेसियों के नाम पर विलाप करते हैं।,benign,0
475,"ओर तू फेंकू का सिक्सर, अपने गुरु अमित मलपिया की दलाली करता हुआ, रैपता याद है कैसा छापा है फेंकू ओर तड़ीपार के चेहरे पर, पूरे बडगाम ने थूक दिया बीजेपी के चेहरे पर",benign,0
476,बीजेपी में शामिल होकर नेताओं की हत्या करना चाहता था जैश कमांडर तांत्रे,benign,0
477,में अपनी सरकार के बारे में सोचे लगातार  बार जीत दर्ज करने के बाद अब हार का सामना न करना पड़े।क्यो की में बीजेपी और मोदी जी के काम से बहुत ही गर्व महसूस करता हु की देश को बहुत दिनों के बाद एक ऐसा लीडर मिला है,benign,0
478,जी घोटाले के मुख्य सूत्राधार बिनोद राय ओर बीजेपी की सांठगांठ,benign,0
