text_id,Text,task_1,task_2,task_3,Label
hasoc_hi_6380,एयर फ़ोर्स के उन सभी “13” जवानों और अधिकारियों को मेरा कोटि कोटि नमन...........जो हमेशा के लिये माँ भारती की गोद में सो गये........जय हिंद.,NOT,NONE,NONE,0
hasoc_hi_4213,"हर सरकारों ने फ़ालतू कामों में पैसा बर्बाद किया है और कर रहे हैं, काश अस्पतालों में बेहतर सुविधाएं कर देते तो बच्चे नहीं मरते।",NOT,NONE,NONE,0
hasoc_hi_3380,देखिए मुंबई का 'कल'  देखिए '19 की 19 कहानियां 6:30 PM @ZeeNews पर,NOT,NONE,NONE,0
hasoc_hi_6775,क्या अपने दूसरे कार्यकाल में मोदी सरकार आम जनता की उम्मीदों पर खरा उतरेगी? देखिए 'मोदी का बजट' 5 जुलाई सुबह 7 बजे से केवल आजतक पर #Modinomics19,NOT,NONE,NONE,0
hasoc_hi_4196,"दिल्ली के कुल 13,816 बूथों में से भाजपा ने 12064 बूथों पर विजय हासिल की है। दिल्ली की जनता विधानसभा चुनावों में भी कमल खिलाने को तैयार है - श्री @ManojTiwariMP",NOT,NONE,NONE,0
hasoc_hi_6612,"जम्मू-कश्मीर भारत का अभिन्न अंग है और इसे कोई देश से अलग नहीं कर सकता।  मैं फिर दोहराना चाहता हूं कि ⁦@narendramodi⁩ सरकार की आतंकवाद के प्रति जीरो टॉलरेंस की नीति है।    हमारी सरकार जम्मू, कश्मीर व लद्दाख तीनों क्षेत्रों के विकास के लिए कटिबद्ध है :गृहमंत्री श्री @AmitShah जी ।",NOT,NONE,NONE,0
hasoc_hi_6171,जेपी नड्डा हो सकते हैं @BJP4India के अगले अध्यक्ष! पार्टी की संसदीय दल बैठक में मिले संकेत,NOT,NONE,NONE,0
hasoc_hi_7225,दिल मेरा था कोरा कागज़ सा  थी वो इक रंगीन श्याही सी  टकरा बैठे थे वो राह में अचानक  मैं #कंगन और वो थी कलाई सी  #hemant_hurmale #हिंदी_शब्द,NOT,NONE,NONE,0
hasoc_hi_6577,भाजपा युवा मोर्चा छत्तीसगढ़ के प्रदेश मंत्री भैया श्री अमित साहू जी से ट्विटर पर जुड़ने के लिए उन्हें फॉलो करें।   @AMITSAHUBJYM  ╭ⓕ━━╮  ┃ⓞ┎━╯       ┃ⓛ┖━╮  ┃ⓛ┎━╯     ┃ⓞ┃  ╰ⓦ,NOT,NONE,NONE,0
hasoc_hi_3515,"ज़ायरा हो या नुसरत जहाँ,सबको अपनी “मर्ज़ी” से जीने का हक़ है, और ये “हक़” उन्हें किसी मुल्ला मौलवी या किसी “पंडे” पुजारी ने नहीं, इस देश के “संविधान”  ने दिया है.",NOT,NONE,NONE,0
hasoc_hi_5265,मैडम इस देश में #KamalHaasan तो अपना विचार रख सकता है  लेकिन #प्रज्ञा_ठाकुर नहीं रख सकती क्योंकि ये आजाद नहीं हैं  एक बात और बता दूं मैं #गोड़से को ही देशभक्त मानूंगा ये राजनीति के कारण गांधी को नहीं    #गोडसे_एक_देशभक्त जिन्दाबाद,NOT,NONE,NONE,0
hasoc_hi_1588,चल तुझे फिर से एक पप्पू जोक सुनाता हूँ,NOT,NONE,NONE,0
hasoc_hi_7730,"मेरे मुस्कुराते चेहरे को देख तुम मुझे क्या समझोगे,    मुझे तो वो नही समझ पाया जिसने मुझे मुस्कुराना सिखाया...,    #feelings",NOT,NONE,NONE,0
hasoc_hi_7012,"प्रियंका चोपड़ा छोटे छोटे कपड़े पहनकर अपने पति के साथ दिखने लगी तो कुछ लोग प्रियंका को भारतीय संस्कृति की याद दिलाने लगे,  अरे भइया काहे इतना परेशान हो रहे हो! प्रियंका अपने ससुराल के रंग में ढल रही हैं उन्हें अब ससुराल की संस्कृति का भी तो ध्यान रखना है।     #PriyankaChopra",NOT,NONE,NONE,0
hasoc_hi_1704,"थाम  कर  दामन  फिर बीच  रस्ते  मे ,,  तनहा  किसी  को  छोड़ा  नही  करते ||  इंसान है तो फिर तय है कि गलती होगी ,,  जरा सी बात पे रिश्ता तोड़ा नही करते ||    ~ शाहरुख सिद्दीकी   #Shahrukhsiddiqui @srspoet",NOT,NONE,NONE,0
hasoc_hi_2696,बैठक की शुरुआत में सबसे पहले कई वरिष्ठ मंत्रियों ने पीएम @narendramodi को एक बड़ी फूल की माला पहना कर जीत की बधाई दी। बड़े हार के बाद एक छोटा चन्दन का हार भी पहनाया गया।।,NOT,NONE,NONE,0
hasoc_hi_5127,North East India के कुछ लीडर भाजपा कार्यालय आकर जीत की शुभेक्षा दिये... कोई असम कोई मिज़ोरम कोई अरुणाचल कोई मणिपुर कोई नागालैंड कोई सिक्किम से.. पर @narendramodi में विश्वास.. और अपने देश भारत के जीत की आस.. @BJP4Delhi @BJP4India,NOT,NONE,NONE,0
hasoc_hi_5052,इस मामले में जांच अधिकारी ने बताया कि चंदावली का रहने वाला सुरेंद्र ढाबा संचालक है,NOT,NONE,NONE,0
hasoc_hi_3389,"माननीय श्री @HardeepSPuri जी को  शहरी विकास और नागरिक उड्डयन मंत्रालय (स्वतंत्र प्रभार), वाणिज्य एवं उद्योग मंत्री (राज्य मंत्री) बनने पर हार्दिक शुभकामनाएं।",NOT,NONE,NONE,0
hasoc_hi_405,गाजियाबाद के इन्दिरापुरम में मस्जिद को लेकर भगवाधारी संगठनो ने उत्पात मचाया था आज भीम आर्मी चीफ चंद्रशेखर आज़ाद रावण' ने ऐलान कर दिया कि वे इन्दिरापुरम जाएंगे और उत्पात मचाने वालो से उन्हीं की भाषा मे बात करेंगे प्रशासन के हाथ पैर फूल गए और 'रावण' को डिटेन कर लिया  @BhimArmyChief,NOT,NONE,NONE,0
hasoc_hi_5692,श्रीलंका ने दक्षिण अफ्रीका को दिया 204 रनों का लक्ष्य   #ICCCricketWorldCup2019 #SLvsSA,NOT,NONE,NONE,0
hasoc_hi_4419,बांग्लादेश को हराकर वर्ल्डकप के सेमीफाइनल में पहुंचा भारत   #CWC19 #ATCard #INDvBAN,NOT,NONE,NONE,0
hasoc_hi_3200,गोली मारने वाला और गोली खाने वाले दोनों ही बेहद पढ़े लिखे समझदार लोग हैं कोई सड़क छाप गुंडे नहीं....ऐसी स्थिति में आप क्या करते जरा ये भी बता दें,NOT,NONE,NONE,0
hasoc_hi_6356,"#Savarkar को वीर बताने वाले #अटल जी की देशभक्ति के बारे मे कुछ पढ़कर स्तब्ध हूँ    1942 मे अंग्रेज भारत छोड़ो अभियान मे अटल जी गिरफ्तार हुए, उन्होंने एफिडेविट दिया कि मैं आज़ादी की लड़ाई का हिस्सा नही हूँ और अंग्रेजो का झण्डा जलाने वालो के खिलाफ गवाही दी ये सेशन कोर्ट का जजमेंट है।",NOT,NONE,NONE,0
hasoc_hi_6790,देश की राजनीति में आप आदर्श नेता है और यह हम सब मानते हैं अगर राजनीति में किसी व्यक्ति को आदर्श माना जा सकता है तो आदरणीय अखिलेश यादव जी हैं! आप इसी लिए विशेष है !जय अखिलेश विजय अखिलेश,NOT,NONE,NONE,0
hasoc_hi_4072,"इस आरक्षण का लाभ उन लोगों को नहीं मिलेगा जिन्हें पहले से ही एसटी, एससी और ओबीसी कोटे के तहत लाभ मिल रहा है",NOT,NONE,NONE,0
hasoc_hi_1402,भाजपा संसदीय दल की बैठक में प्रधानमंत्री के कड़े रूख को देखते हुए पार्टी में इस मुद्दे पर हलचल बढ़ गई है.,NOT,NONE,NONE,0
hasoc_hi_6286,दिल की दीवारें बहुत मजबूत कर ली है मैंने.    अब कोई हसीन चेहरा इसे तोड़ ना पाएगा.  ____________________________________  #बज़्म https://twitter.com/safar_____/status/1145015825159479296 …,NOT,NONE,NONE,0
hasoc_hi_7013,संकट हरै मिटे सब पीड़ा.. जो सुमिरै हनुमत बलबीरा..   #जय_श्री_राम  #शुभ_रात्रि,NOT,NONE,NONE,0
hasoc_hi_5915,सीता' संभालेंगी 'घर' का बजट !  #ZeeNewsParSabkaBudget पर ट्वीट कीजिए     देखिए न्यू इंडिया का बजट  7 PM बजे सिर्फ @ZeeNews पर,NOT,NONE,NONE,0
hasoc_hi_4400,विडंबना     पानी पूरी भले घर की बनीं खाओ  या बाजार मे जाकर खाओ    हर एक पानी पूरी का हिसाब होता हे  गिनती होती हे,NOT,NONE,NONE,0
hasoc_hi_1697,"उसकी आहट़ से दौड़ी चली आती हूँँ  चुड़ियों से भी उसकी आवाज़ की सदा आती है,  वो हवाओं की बदमाशियाँ,  वो मेरे दुपट्टे का लहलहाना   वो लबो का मिलना और  चुड़ियों का तेरे हाथों में टूट जाना हाये...  एक ख्याल सा जवाँ  होता है  चुड़ियों की खनक से बोल   संगीत बन जाते है!!  #हिन्दी_शब्द  #चुड़ियाँ",NOT,NONE,NONE,0
hasoc_hi_5489,"ना देख मुझे,  ऐ हसीना  यूँ हँस-हँस के..    मेरे #कमीने दोस्तों ने देख लिया,  तो कहने लगेंगे  '#भाभी_नमस्ते'",NOT,NONE,NONE,0
hasoc_hi_4575,भाजपा दिल्ली प्रदेश की कार्यकारिणी के दूसरे दिन राष्ट्रीय कार्यकारी अध्यक्ष श्री @JPNadda जी का स्वागत कर प्रदेश अध्यक्ष श्री @ManojTiwariMP जी ने विधिवत शुरुआत की।,NOT,NONE,NONE,0
hasoc_hi_372,मायके से प्राप्त संस्कारों का उन्होंने गृहस्थ जीवन में पूर्णतः पालन किया। उनके घर में स्वदेशी वस्तुएँ ही आती थीं। अपनी कन्याओं के लिए वे घर पर एक शिक्षक बुलाती थीं। वहीं से उनके मन में कन्या शिक्षा की भावना जन्मी और #लक्ष्मीबाई जी ने एक बालिका विद्यालय खोल दिया।,NOT,NONE,NONE,0
hasoc_hi_7249,आदिवासियों की क्या हालत हो गई है अब खुद देख लीजिए   अबे कहां जाएं नक्सली बन जाए या ऐसे ही मर जाएं?,NOT,NONE,NONE,0
hasoc_hi_896,नांदेड़ महाराष्ट्र: देश में बढ़ रही मॉब लिंचिंग की वारदातों के ख़िलाफ़ एवं झारखंड के सरायकेला में लिंच किए गए तबरेज़ अंसारी के इंसाफ़ के लिए आज नांदेड़ कलेक्टर ऑफिस के सामने ए आई एम आई एम और वंचित बहुजन आघाडी ने धरना-प्रदर्शन किया. @asadowaisi @Prksh_Ambedkar,NOT,NONE,NONE,0
hasoc_hi_3638,"सरकार ने माना होटल-मल्टीप्लेक्स में MRP से महंगा मिलता है सामान, जल्द बनेगा कानून",NOT,NONE,NONE,0
hasoc_hi_6459,"कर्नाटक: कांग्रेस को बड़ा झटका, विधायक आनंद सिंह ने दिया विधानसभा से इस्तीफा    #karnataka  https://abpnews.abplive.in/india-news/karnataka-congress-mla-anand-singh-submitted-his-resignation-to-the-governor-from-his-assembly-membership-1158070 …",NOT,NONE,NONE,0
hasoc_hi_3495,अपने अद्भुत शौर्य और पराक्रम से भारतीय वसुन्धरा को गौरवान्वित करने वाली महान वीरांगना रानी #लक्ष्मीबाई के बलिदान दिवस पर विनम्र श्रद्धांजलि।  @RahulGandhi @priyankac19 @priyankagandhi @girish663 @INCUttarakhand,NOT,NONE,NONE,0
hasoc_hi_6010,#ICCWorldCup2019 में टूर्नामेंट का 36वां मैच आज #Paskistan और #Afganistan के बीच #Headingley क्रिकेट मैदान पर दोपहर 3 बजे से खेला जाएगा। मैच का प्रसारण #StarSports के अलावा #HotStar पर किया जाएगा। #CWC2019 #AFGvsPAK,NOT,NONE,NONE,0
hasoc_hi_4219,SP BSP RLD 65+जय भीम जय भारत....,NOT,NONE,NONE,0
hasoc_hi_7134,रीना के अस्पताल से डिस्चार्ज होने के 3 दिन बाद से उसे परेशानी शुरू हो गई,NOT,NONE,NONE,0
hasoc_hi_4545,ये हरे काँच की #चूड़ियाँ  बढ़ी जंचती है तुम पर  तुम सादगी में भी लगती सुंदर  #हिंदी_शब्द  #शब्दनिधि,NOT,NONE,NONE,0
hasoc_hi_2743,प्रदेश सरकार केंद्र सरकार को प्रस्ताव भेजकर RGI एवं एस०टी०आयोग से संस्तुति कराकर लोकसभा व राज्यसभा में संविधान के अनुच्छेद 342 का संशोधन कराकर आदेश जारी कराने का काम करें तभी उक्त अतिपिछड़ी जातियों को लाभ मिल पाएगा..,NOT,NONE,NONE,0
