ID,Text,Label
facebook_corpus_msr_2020937,Hitt man not,1
facebook_corpus_msr_329994,Just go and ask those who made them sleep on roads for 70 years...,1
facebook_corpus_msr_2032186,"Many youngsters, irrespective of their religion, are frustrated with the system that fails them all the time from having a hope or growth, so if they find any outlet to release their energy they don't think twice. Disintegration amony communities also a leading cause for violence",1
facebook_corpus_msr_2379886,"What is this solidarity March?
Which political party has sponsored this useless ""solidarity"" march?
Is this ""solidarity march"" towards showing ""solidarity"" for third class political parties like Congress Aap, TMC, CPI, who gave absolutely no agenda to take on the govt??!",1
facebook_corpus_msr_447267,If h is genuine in his deal why he hide from parliament,1
facebook_corpus_msr_331047,who  rapd  nun  in  bngal  mulim,1
facebook_corpus_msr_1723953,You can't blame religion for that..this is immature,1
facebook_corpus_msr_1805353,Anna himself repenting.,1
facebook_corpus_msr_444158,"give modi a chance atleast, so many chance given to congress, they did not do nothing",1
facebook_corpus_msr_325018,Dont worry Kajol. You will not be lynched. You are not a muslim.,1
facebook_corpus_msr_1805527,Poison  hasare,1
facebook_corpus_msr_422005,"CLEAN SWEEP  BY MODI, NO ONE LEFT TO SURVIVE EANYWHERE.",1
facebook_corpus_msr_1724044,When people will stop listening to your song ?,1
facebook_corpus_msr_1731558,Put him behind the bar,1
facebook_corpus_msr_2032273,Our country needs to unite and help muslim .. by not doing politics on this issue.. this father has shown what  india is made of..,1
facebook_corpus_msr_1956965,No CM can work against the Constitution..pl do not draw conclusions even before start ..let the CM work ..after all the people are the referee n judge...,1
facebook_corpus_msr_1804906,ANDH BHAKT SPOTTED,1
facebook_corpus_msr_489490,Ever heard of Sree padmanabha temple? Ever heard of Trivandrum?,1
facebook_corpus_msr_53425,Y can't u protect all animals y only cow that's the point ....,1
facebook_corpus_msr_462572,Terrible decision by Modi - black is only 10 percent of the liquid cash. Its in other asset forms. The poor and middle class are suffering.,1
facebook_corpus_msr_2349575,okay... then what about Hindus and Jews? Only because lots of Hindus and Jews voted Republican this time?!,1
facebook_corpus_msr_1946777,"Just by doing or attending an 'azaan' does anyone become a true Muslim....? 

Prophet Muhammad had once asked his followers, ""just by saying that you believe, will you be called a muslim. No. You will be tested first.""",1
facebook_corpus_msr_221574,Watching from USA kajriwal is not a working guy he has big mouth,1
facebook_corpus_msr_2127036,Did it win...really LOL,1
facebook_corpus_msr_480928,Sonia maruti is highly price stock and mahindra is cheap stock and nw a days pair trade goin on in market,1
facebook_corpus_msr_1723108,"See Niyaz, if the noise troubles u then it is is a fact.. u should always try and explain to the temple authorities and get it reduced. I myself have reduced the noise of a hindu temple nearby..",1
facebook_corpus_msr_421788,"To quote former British Columbia (Canada) premier Ujjal Dosanjih :""PM Modi is a great campaigner but a mediocre Prime Minister"".The old English saying ""Either you run your mouth or the country"".Needless to say PM Modi has opted for the former.",1
facebook_corpus_msr_466249,I did not say wht others should speak I gave my view and i set my question who ever can answer they answer who ever cannot tht is their wish there is no hard m fast rule because whn he was thePM no one opened their mouth now tht he is not everyone questions his silence,1
facebook_corpus_msr_334351,"Stay fooled, when people like you are blindly protecting and defending criminals. Desh kahan aur kaise aage bade ga?",1
facebook_corpus_msr_1582252,"An atheist is like a lizard who keeps changing his colours 
                           -anonymous",1
facebook_corpus_msr_334912,Now he will go for support of communists and their propaganda to destroy democracy,1
facebook_corpus_msr_1521874,Why why why.....live n let live. Let Peace prevail.  Pls leave our food choices to us only.,1
facebook_corpus_msr_2082573,Our forefathers were wise. They kept money with them only.,1
facebook_corpus_msr_1723544,MILLIONS OF MUSLIMS FEEL OFFENDED BY THIS UNFORTUNATE FIT OF SONU NIGAM...DRAWING ATTENTION TO HIM OR WHAT......WHEN SO MANY BANS AND OTHER ISSUES ARE HAMMERING MINORITIES..NO DOUBT OCCULT FORCES ARE BEHIND SUCH RACIST DECLARATIONS...,1
facebook_corpus_msr_2243860,I agree upto that Mayajal is finished. Rest let us see.,1
facebook_corpus_msr_2126998,"It wil be fun to watch , how both these parties will take support , If they would have contested together , Congrss and Ncp would have wiped out",1
facebook_corpus_msr_2115217,Don't utter any bombastic words before any match. Performance only counts.,1
facebook_corpus_msr_421011,"time for luxury ......relay the program in luxury time .....

is that sushma swaraj is the right candidate for president ....? 

what about her fitness ...under gone kidney transplantation ....sir give some rest for sushma ji",1
facebook_corpus_msr_2018616,Its her choice... She s not destroying feminism... Feminists too love to take care of kids...,1
facebook_corpus_msr_444150,As usual minorities are complaining when will they stop seeing things from preceptive of there religion.  Religion divided us and it still does.,1
facebook_corpus_msr_403322,launch curry ninda missile to make indian bravehearts safe instantly for few hours until next bravehearts become vulnerable before launch of next curry ninda missile!,1
facebook_corpus_msr_402391,It's incorrect to think that after removing red light from VIP& VVIP's vehicles the Culture of VIP mindset vanished. Please follow UP's daily reports.,1
facebook_corpus_msr_2018574,So this means that all the working mothers treat their babies as puppies Future of every household is not so secure. Salute to the real women who earn as well spend quality time with their children,1
facebook_corpus_msr_1722789,Haha. What do they expect from her? To work in cycle aggarbatti ad!,1
facebook_corpus_msr_444006,You don't understand common man difficulties. All rich people are getting money with commission basis. And common people are suffering,1
facebook_corpus_msr_2127012,Wao!! Really!! Is it a massive win!!! 😀.. why do you love to fool the public????.. whoever has penned this article!!  ..,1
facebook_corpus_msr_1724292,📢📢📢📢📢📢stop it,1
facebook_corpus_msr_451824,Sounds less like a bike launch and more like someone's strangling a cat!!!,1
facebook_corpus_msr_447825,First bring the money from the Political parties who do not pay any taxes DO YOU KNOW HOW MUCH MONEY HAS BEEN CHANGED BY THE POLITICAL PARTY FROM 8TH NOVEMBER 2016 TILL DATE PLEASE PUT IT IN THE MEDIA,1
facebook_corpus_msr_332558,ALL IN THE GAME. CLOSE UR EYES N EARS TO THIS CRYING BABY.,1
facebook_corpus_msr_466236,"Doesnt matter ! Though a painful; It is far more better than ur N number of scams. It is bcoz of hon. Dr Manmohan Sigh India witnessed economic growth bt his party was the biggest looter than britishers, vanished India's wealth.",1
facebook_corpus_msr_2379875,"Misinterpretation. Reality is:

""Delhi Police beat up Thugs, 
goons and #Presstitutes 
who attacked Police at 
Rohit Vemula Mockery March""",1
facebook_corpus_msr_1763598,"Even if you Play  dalit card now., You may not get  any attention. You are a stale food. It has no use. Should be thrown in a dustbin.",1
facebook_corpus_msr_1735824,"You are given many Constitutional protections...However, reservation is not poverty alleviation scheme, it is there for only those social groups, historically who has been exploited, marginalized, rendered weaker. Muslims wanted window within OBCs, Supreme Court says, you can create subwindow within OBCs, without breaching 50% barrier, but not on the basis of religion.",1
facebook_corpus_msr_1946900,"What, did you have karela for lunch? It's a joke...",1
facebook_corpus_msr_397560,Joke of the day from a joker from Jokistan. Couldn't stop laughing. 😁😁😂😂,1
facebook_corpus_msr_394876,People who worship cow cannot behead   1 person...leave 100,1
facebook_corpus_msr_2295561,"Safety officer should be hanged he is responsibility for their death 
Of company not hire a safety personal than company owner and person responsible for signing lic should be charge 
This is man slaughter a crime hinderous crime 
Peoples come to work not to kill",1
facebook_corpus_msr_1805391,Anna is bjp man,1
facebook_corpus_msr_1805143,"hey reporter, plz ask him a question on behalf of me that has he forgot about Lokpal Act ?",1
facebook_corpus_msr_324337,Grow up people and understand that there is no place for poor people in India.They are discrimenated in every states of our country.Ofcourse govt announces many schemes for the poor but those schemes hardly reach them.Sad but hard fact about our great country India.,1
facebook_corpus_msr_1731508,"No money eaten by lallu, fodder scam",1
facebook_corpus_msr_444093,"People waiting for election.Next election, bjp will see the outcome of demonstration.",1
facebook_corpus_msr_446818,If it was nonsense do u think people representing congress party would spare him.,1
