,_id,Text,task_1,task_2,Label
4986,60c5d6bf5659ea5e55defa2c,"@wealth if you made it through this &amp;&amp; were not only able to start making money for yourself but sustain living that way all from home, fuck these companies &amp; corporate pigs. power to the people, always.",HOF,PRFN,1
3394,60c5d6bf5659ea5e55def461,"Technically that's still turning back the clock, dick head https://t.co/jbKaPJmpt1",HOF,OFFN,1
3390,60c5d6bf5659ea5e55def419,@krtoprak_yigit Soldier of Japan Who has dick head,HOF,OFFN,1
4626,60c5d6bf5659ea5e55def7fa,@blueheartedly You'd be better off asking who DOESN'T think he's a sleazy shitbag lmao.,HOF,OFFN,1
1506,60c5d6bf5659ea5e55defc58,@ilyhiguchi DICK,HOF,PRFN,1
3582,60c5d6bf5659ea5e55def54f,"@Chahal_Shekhar Sorry we won't, why can't your raise your voice for thousands of people who died due to bed crisis and oxygen. Are you people trying to divert this situation and saving #Modi? #Resign_PM_Modi this time it won't work out and even bhakths a",HOF,HATE,1
150,60c5d6bf5659ea5e55def132,"@narendramodi, you are #NotMyPrimeMinister anymore. Your egoistic and populistic ways have no place in #Delhi. Millions are dying because of your inactions and you are focused on ruining Delhi’s heritage. Get out of my city!  #ResignModi https://t.co/GcW74Ccpyz",HOF,OFFN,1
3586,60c5d6bf5659ea5e55def5dc,"Muslims should help cremate their dead because families too scared to perform the last rites of their loved ones! #IndiaCovidCrisis, Dalits &amp; Muslims donâ€™t get respite, in pandemic or without pandemic. They donâ€™t deserve human rights or dignity, forget about acknowledging them!",HOF,OFFN,1
488,60c5d6bf5659ea5e55def33b,yeah when she's finally done w you you wanna pop back into her life fuck off,HOF,PRFN,1
4458,60c5d6bf5659ea5e55defe30,@AjeebBharti @BeraJaykrishna @khan_nainam @Policy @Twitter Prove it !!! What evidence you have bloody hell prove kar,HOF,PRFN,1
2875,60c5d6bf5659ea5e55def23a,now i canât even get my tattoos bc this man is being a cunt ! tf bro ð,HOF,PRFN,1
4412,60c5d6bf5659ea5e55defd5d,Found the little bastard ðŸ‘Œ now the fun begins. ðŸ˜¬ https://t.co/KH2WPFyT7n,HOF,PRFN,1
208,60c5d6bf5659ea5e55def27d,@dxnprivv Stop being a twat then,HOF,OFFN,1
2482,60c5d6bf5659ea5e55df016c,One thing I can’t stand is people talking out the neck when they don’t know shit....,HOF,PRFN,1
3585,60c5d6bf5659ea5e55def5b8,"@SubhashiniAli @PoojaB1972 Wah @narendramodi , yet another masterstroke. People will die and to burn the dead, they would need more wood. Superb. #ResignModi #modimadedisater Stop Destroying the Country. Stop Destroying the Planet. #ModiHataoDeshBachao",HOF,HATE,1
1743,60c5d6bf5659ea5e55defe6f,"i’m tired of making other people comfortable with MY existence, until further notice, kindly fuck off https://t.co/bfXlc61Qs2",HOF,PRFN,1
3751,60c5d6bf5659ea5e55deff72,BITCH WHAT https://t.co/wdQRCTNzYn,HOF,OFFN,1
4122,60c5d6bf5659ea5e55defbf5,If you donâ€™t give a damn then I donâ€™t give no FUCK,HOF,PRFN,1
910,60c5d6bf5659ea5e55def8c1,@timesofindia Panem et circenses. Distract the angry mobs with a shiny new solution that can't be implemented and thereby save your a$$ from the coming revolution. #Resign_PM_Modi #ModiHataoDeshBachao #BJPHataoDeshBachao #BJPdestroysDemocracy,HOF,OFFN,1
3487,60c5d6bf5659ea5e55def3c1,@UtdEIIis Really like how this list started with Dan Shitbag.,HOF,PRFN,1
3516,60c5d6bf5659ea5e55def3a7,It's an international shame for India as our PM cares fund is totally means cares for PM and everyone knows it that is why the global leaders aren't trusting this fund no more #spinelessmodi #SpinelessBJP #Resign_PM_Modi #ModiTheBiggestCheater https://t.co/prAK4h96yV,HOF,HATE,1
5077,60c5d6bf5659ea5e55def0f3,@PCMohanMP @SureshNakhua @amritabhinder @NupurSharmaBJP @IAmErAijaz @sputnikvaccine @HardeepSPuri @khushsundar @TVMohandasPai @KiranKS @MajorPoonia Is been very shameful for India that India is the largest production of all vaccine n medicine. Still India,HOF,OFFN,1
4477,60c5d6bf5659ea5e55defe7e,"The most greedy PM of India. The most important thing in every country is Education, it can be stopped but not ELECTION. #ExitModi #ModiDisasterForIndia #Resign_PM_Modi #ModiFailsIndia @PMOIndia @BJP4India https://t.co/GnCaGCxUzf",HOF,OFFN,1
1923,60c5d6bf5659ea5e55defdb2,Roaming around aimlessly while his people are dying. And all paid media follow him. What a shame for having such a leader in this 21st  century. #ModiMadeDisaster  #ModiResign  #ResignPMmodi https://t.co/4P44slqBxa,HOF,OFFN,1
2789,60c5d6bf5659ea5e55df02a5,Modi government tied with twitter and removed some serious tweets which exactly shows how they failed us. things are really bad when leaders response to the criticism is to try and eradicate the criticism not the failures. Bjp govt completely failed us . #resignmodi #india,HOF,HATE,1
574,60c5d6bf5659ea5e55def699,Have some REAL journalism from @fnez_blogger  #AMC. None of that motley fool bollocks here. No fud!   Here's Why People Are Buying AMC Stock: Investors Guide - https://t.co/2lZFONbWTK https://t.co/I1JsLd1LGJ,HOF,PRFN,1
4777,60c5d6bf5659ea5e55def79e,"@lIJCThorntonll Here's hoping that little shitbag gets arrested. I got arrested for ""threatening"" when I didn't even make a direct threat, and our law system is fubar if crap like this keeps sliding.",HOF,PRFN,1
837,60c5d6bf5659ea5e55def636,@Sweeeet_FA Wee twat. How can she even joke about that?,HOF,PRFN,1
3355,60c5d6bf5659ea5e55def3fa,@TheIshikawaRin You wonâ€™t. But some random asshole will.,HOF,PRFN,1
3821,60c5d6bf5659ea5e55df01ce,"India becoming the first country to see more than 400,000 new daily coronavirus cases. Shame on the @IPL #IPL2020 #IndiaCovidCrisis #IndiaNeedsOxygen",HOF,HATE,1
3961,60c5d6bf5659ea5e55def70e,@milkydonah fuck off this is you,HOF,PRFN,1
4430,60c5d6bf5659ea5e55defdac,"#ModiKaVaccineJumla Mr. Modi, where is your ""DeshBhakt"" BJP workers now??? Do you feel COVID is attacking only the anti-nationals or anti-BJPs ???? Shame a Curse On!!!!",HOF,OFFN,1
3674,60c5d6bf5659ea5e55defed2,Why Modi as Prime Minister is big Disaster for India ? * Daily 400000 case. * Daily 4000 deaths. But he is still working on his image! #ResignModi #MakeGadkariPM https://t.co/JBEtYvbMvm,HOF,HATE,1
3491,60c5d6bf5659ea5e55def3de,is there rnbo lore on you know whoâ€™s stream ðŸ˜’ðŸ˜’ðŸ˜’ damn it.... iâ€™m in class anyway but.... fuck... ran bow lore is ran bow lore....,HOF,PRFN,1
5015,60c5d6bf5659ea5e55def171,Didi and her brothers make Bengal hell by terror.They are the only party who celebrate victory by Terror. #ShameOnMamata #TMCTerror #MamtaisTerrorist #ShameOnTMC #tmcgoons #BengalBurning #BengalViolence #Fascism @jdhankhar1 @amitmalviya @JPNaddaOfficial @DilipGhoshBJP,HOF,OFFN,1
3207,60c5d6bf5659ea5e55df0319,"People are dying, left to go begging for basic medical resources. No ventilators. No O2. Delayed/No Response from Centre. State govts clueless due to lack of aid from Centre. Lies. Cover ups. Please, for the countryâs sake, #ResignModi &amp; let someone more competent do the job. https://t.co/12xZWXZgyI",HOF,HATE,1
2787,60c5d6bf5659ea5e55df029f,What is bisexuality i only know dick https://t.co/wFUY7AVEfq,HOF,PRFN,1
3365,60c5d6bf5659ea5e55def374,"Bill Gates, emphatically opposes sharing #Covidvaccine formulas with India &amp; poor nations to accelerate their ability to manage d pandemic. His concern is IPR &amp; capitalist profits. Deplorable but not shocking. #Gates expresses the very essence of capitalism: let d poor eat manure",HOF,OFFN,1
3883,60c5d6bf5659ea5e55df01c2,"my neurodivergent ass Hates the way those Saniderm bandages feel in the crook of my elbow right now ðŸ¤§ the tattoo barely touches the crease of my elbow, but the bandage goes into my ditch and it feels Icky. catch me taking like 12 showers in 2 days to make this shit peel off ASAP",HOF,PRFN,1
4907,60c5d6bf5659ea5e55def949,Very clueless bastard with no regard for humanity.. Doom upon your generation is all I wish for https://t.co/y6aLFmkN3c,HOF,PRFN,1
311,60c5d6bf5659ea5e55def384,@maiysha Shout to 2 all Queens out there yo holding dudes down yo.  Bloody British bitch jus mad Harry told about the queen And future king lol I have to laugh being racist cunts lol in my best British accent the cockney one lol,HOF,PRFN,1
479,60c5d6bf5659ea5e55def40e,A bitch will fuck yo nigga yo opp yo daddy and fav cuz but soon as you get bloody all hell break lose ....,HOF,PRFN,1
4145,60c5d6bf5659ea5e55defb12,@CateFox Good player bit of a twat tho,HOF,PRFN,1
4798,60c5d6bf5659ea5e55def924,@piersmorgan Bloody hell my dad is bigger than your dad ....,HOF,PRFN,1
2719,60c5d6bf5659ea5e55df03f3,"Dear foreign countries you all are serving oxygen, ambulance, medical equipments etc. But the most likely we want a prime minister. If you can make it it's the big deal you have done to this country.  #ResignPMmodi #SaveIndia",HOF,OFFN,1
2119,60c5d6bf5659ea5e55defee5,"whom ever pushing this agenda of vaccinating everyone...I SAY ""GO FUCK YOURSELVES"" I don't need no #vaccine #coronavirus #COVID19 #CovidVaccine #fuckyouandyourvaccine",HOF,PRFN,1
453,60c5d6bf5659ea5e55def39c,"#VaccineShortage #Resign_PM_Modi  ordinary people want peace of mind. U r making jokes in every step . it's not any kind stage show, u r  not 2 be a PM 4 nonsense preparation. modi ji ur baseless decision and overconfidence what did in india maybe we can't revive4more 20 years. https://t.co/3AIWScDxqu",HOF,OFFN,1
4648,60c5d6bf5659ea5e55def762,@ndtv Shameless PM. What else can we say? #ShameOnModi #Resign_PM_Modi #ResignPMmodi,HOF,OFFN,1
388,60c5d6bf5659ea5e55def32e,"@Jeremycrenshawz @harshalsardesai @LamAndy16 @sky_nnnnnnn @estherleewm @globaltimesnews @ipacglobal This is the reason Communist Government in China doesn't treat you like humans. You were killed like dogs in #WuhanKillings to contain the #ChineseVirus. But unfortunately you escaped, anyways better luck next time, hope you don't survive next time.",HOF,HATE,1
3512,60c5d6bf5659ea5e55def30d,"@JPNadda @BJP4Delhi Damn you, you have the government and instead of leading it your party is busy being an opposition. #ResignModi",HOF,HATE,1
3826,60c5d6bf5659ea5e55df00f7,Gonna start being more of an asshole to dickhead drivers. Been inches from getting hit 2 times in the past week now,HOF,PRFN,1
724,60c5d6bf5659ea5e55def5b3,@xefaa__ @TragicWRLD999 this song is mid as fuck,HOF,PRFN,1
677,60c5d6bf5659ea5e55def5cc,bollocks i need shows to watch,HOF,PRFN,1
845,60c5d6bf5659ea5e55def6a4,India has got the worst finance minister and health minister ever. #IndiaCovidCrisis #ResignPMmodi #ModiKaVaccineJumla #COVIDEmergency,HOF,HATE,1
4000,60c5d6bf5659ea5e55def960,"Violence = IslaM Love = ""behayayi"" It's totally unethical ,unislamic Wow ðŸ‘ No wonder why West becoming ISLAMPHObE. #Islamophobia",HOF,HATE,1
662,60c5d6bf5659ea5e55def673,"Real Jihadi Avatar of @MamataOfficial she is worse than Mughal invaders, we will not rest until we throw her out of democracy #BengalBurning #BengalViolence #PresidentRuleInBengal https://t.co/tJ8c1O1VIy",HOF,OFFN,1
4534,60c5d6bf5659ea5e55def4f9,"""God, did you hear about that stupid guy who works at Burger King who is a total asshole? I think his name is Arin""",HOF,PRFN,1
590,60c5d6bf5659ea5e55def5c0,@bananapixelsuk That’s why the whole thing is a load of crap. Corporate bollocks.,HOF,HATE,1
3638,60c5d6bf5659ea5e55df0015,"For everyone wondering who would try to be the biggest asshole of the day, itâ€™s @GovRonDeSantis https://t.co/bn9vFO2QqQ",HOF,PRFN,1
