ID,Text,Sub-task A,Label
C38.284,"Mere Desh ki ladki aur aurton par proud feel ho Raha hain. Whereas , the same
homophobic men watch our penises and cruise around at public toilets . Get
over it - homophobes are closet gays in denial.",NAG,0
C33.757,superb,NAG,0
C4.1491,"Hats off, as this is the most sensible and realistic review about this movie
because it promotes violence, abuse and Narcissistic approach and all weird
amalgamation of ""Bollywood fantasies"" which makes it an utter nuisance sold in
the society.",NAG,0
C26.103,Good job done by this man don't know when government will wake up,NAG,0
C7.1204,"**Everyone : Arjun Reddy or Kabir Singh**  
 **Partik Sir : Four More Shots or Kabir Singh**",NAG,0
C4.1285.4,Laura from reality.,NAG,0
C10.771,India is a country where u can say anything. Why does she not get arrested,NAG,0
C47.82,ঈশানী ইজ ইন্টেলিজেন্ট গার্ল,NAG,0
C4.664,iam still not watching this movie😂,NAG,0
C59.124,Pless,NAG,0
C4.878.3,Me also,NAG,0
C59.1941,Wow super boss 😂😂😂,NAG,0
C4.1202.1,Salute you,NAG,0
C4.1687,Kabir Singh vs halfgirlfrnd vs Shaadi me jaurur aana??,NAG,0
C7.926,i like ur review.,NAG,0
C33.151.1,I m bangladeshi,NAG,0
C26.199,nic bro,NAG,0
C33.338,Nice to next culture 😉😉,NAG,0
C7.452.1,"@Ruchi Sapehia truly said. Condition is very fragile in such places. I have
been there. People there are not only uneducated but also try to replicate age
old religious dogmas over the meek and weak people. They just want to make
sure that they are the ones to be respected out of fear. It is just that such
movies boost up there moral because the hero does end up with a nice girl 😅.
So just a little bit worried on this part.",NAG,0
C4.1692,"Kabir Singh is a shit in the name of a movie.... There is nothing in the movie
expect shity Bollywood spice.... Thinkers can't even tolerate to watch it....
That's it.... Khatam bat....",NAG,0
C45.443,Very lol,NAG,0
C7.2205,"100% true review Pratik Bhai... 👍👍👍👍...  
True love ki Jai Ho...",NAG,0
C4.1934,this was very realistic video sir 🙏,NAG,0
C7.2546,Nyc review pratik j....,NAG,0
