Client,Label,,Total
,Abusive,Non-Abusive,
Client 0,145,468,613
Client 1,190,800,990
Client 2,949,632,1581
Client 3,509,329,838
Client 4,320,489,809
Client 5,158,346,504
Client 6,1245,677,1922
Client 7,355,400,755
Client 8,525,63,588
Client 9,224,509,733
Client 10,412,574,986
Client 11,435,1196,1631
Client 12,75,249,324
Client 13,108,121,229
Client 14,198,607,805
Client 15,1446,1090,2536
Client 16,885,323,1208
Client 17,265,159,424
Client 18,311,129,440
Client 19,187,71,258
Client 20,108,121,229
Client 21,218,607,825
Client 22,1426,1010,2436
Client 23,885,323,1208
Client 24,276,159,435
Client 25,300,129,429
Client 26,187,151,338
Client 27,355,55,410
Client 28,150,35,185
Client 29,363,156,519
Client 30,282,83,365
Client 31,2024,412,2436
Client 32,1391,204,1595
Client 33,304,153,457
Client 34,355,55,410
Client 35,150,35,185
Client 36,363,156,519
Client 37,282,83,365
Client 38,2011,412,2423
Client 39,1391,204,1595
Client 40,304,153,457
Client 41,47,231,278
Client 42,256,1026,1282
Client 43,280,1226,1506
Client 44,195,430,625
Client 45,110,462,572
Client 46,195,231,426
Client 47,456,976,1432
Client 48,280,400,680
Client 49,808,638,1446
