tweet_id,Text,task_1,task_2,Label
hi_hasoc_2021_5178,@AskAnshul आसमानी किताब के नाजायज औलाद है।,HOF,OFFN,1
hi_hasoc_2021_5410,@Sandeep_News_24 बिहार की आम जनता को बहुत ही नाराजगी है केंद्र सरकार की सिस्टम से और लालू परिवार से  यह दिन काले अक्षरों में लिखा जाएगा और आने वाला पीढ़ी इसे याद रखेगा  जो एक संसद को अपमानित किया गया अपनी मिट्टी नहीं मिलने दिया   आज हमारी बारी है तो कल तुम्हारी बारी होगी #JusticeForShahabuddin,HOF,HATE,1
hi_hasoc_2021_5852,"यही तेरी असलियत है कि चोरी रोज करेगा खेत मे लेकिन कभी भी उसे स्वीकार नहीं करेगा। गजेटियर भी तुझे दे दिया तब भी तू कुत्ता का कुत्ता ही रहा। अब भाग कुत्ते की औलाद। जा कहीं भैंस, गन्ने की चोरी कर ले, सुबह घर कैसे चलेगा तेरा। https://t.co/h1kySjw2l0",HOF,OFFN,1
hi_hasoc_2021_5765,"भोजपुरी का 2 टके का सिंगर किसी के लड़की का नाम लेकर फूहड़ गाना बना सकते है कभी सोचा है कि वो लड़की जब घर से बाहर निकलती है, मोहल्ले में, पान दुकान पे , DJ में उसका नाम लेकर फूहड़ गाना बज रहा होता है तो कैसा महसूस करती होगी? घर आके क्या सोचती होगी..? DOP Shiva Chaudhary",HOF,HATE,1
hi_hasoc_2021_3331,@anushka_s2 मूर्ख लड़की,HOF,OFFN,1
hi_hasoc_2021_4875,What a shameless guy !! दोगला !! https://t.co/VU9uIgW7xv,HOF,OFFN,1
hi_hasoc_2021_5116,"वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी ""धृतराष्ट्र"" की तरह हैं| #राष्ट्रपति_जी_बंगाल_संभालो #BengalBurning #bengalvoilence @beingarun28 @OpIndia_com @sambitswaraj @DChaurasia2312 @AsYouNotWish",HOF,HATE,1
hi_hasoc_2021_6031,@Dr_Uditraj अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,HOF,OFFN,1
hi_hasoc_2021_4609,@Kavi_Ghar सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने ? -नवनीत,HOF,HATE,1
hi_hasoc_2021_5709,"@Bhartim01768706 ये हरामी शिक्षक नहीं, शिक्षक के नाम पर कलंक है, सालों को फांसी से कम सजा नहीं होनी चाहिए",HOF,OFFN,1
hi_hasoc_2021_5477,@PTI_News ONCE IN A CENTURY  @narendramodi जैसा मनहुस पैदा होता है @PMOIndia  #मनहुस_मोदी का साया देश से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,HOF,OFFN,1
hi_hasoc_2021_4287,"अगर जरा भी ज़मीर बचा है और जरा भी साहब से मोहब्बत थी तो #boycottRJD करो और पार्टी पद से इस्तीफ़ा दो, चाहे BJP कियु न जॉइन करना पड़े, वरना ढोंगी रोना बन्द करो! #JusticeForShahabuddin  #BoycottRJD",HOF,HATE,1
